Engine_Name ,Engine_P_max ,Engine_P_min,Cost,Emgine_Mass,Engine_Volume ,Engine_Fuel_Type,Engine_g_perkWh ,Engine Fuel Consumption Curve ,Battery_Name,Battery_Capacity,Battery_Cost,Mass,Volume,Voltage,Current,Max_C_Rate
Fortuna Crane Engine ,800,80,50000,730,0.779,Diesel,"[80, 197.91; 160, 189.97; 240, 183.23; 320, 177.71; 400, 173.40; 480, 170.30; 560, 168.42; 640, 167.74; 720, 168.28; 800, 170.03]","[0, 0.00; 10, 18.72; 20, 35.93; 30, 51.98; 40, 67.22; 50, 81.99; 60, 96.63; 70, 111.48; 80, 126.90; 90, 143.22; 100, 160.79]",Durapower 666 V,42.6,16123.2,445,0.439,666,384,1
Alpha Diesel 750 kW (Fortuna Puffin),750,187.5,1,10,0.1,Diesel,"[188, 198.02; 375, 186.66; 563, 184.25; 638, 184.59; 750, 186.06]","[0, 0.00; 25, 43.89; 50, 82.74; 75, 122.51; 85, 139.10; 100, 164.95]",Corvus Blue Whale,43,13500,383,0.558,80,538,1
Nordhavn Methano Engine  330,330,33,85000,1660,2.5,Methanol,"[33, 727.27; 83, 521.21; 165, 484.85; 248, 456.57; 330, 439.39]","[0, 0.00; 10, 30.34; 25, 54.36; 50, 101.14; 75, 142.86; 100, 183.31]",CTS 614 V Lifepo4 Battery,61.4,4500,614.5,0.2637,614,100,1
Caterpillar 3508 626 kW (Hydrograf),626,156.5,1,5216,6.37,Diesel,"[157, 198.02; 313, 186.66; 470, 184.25; 532, 184.59; 626, 186.06]","[0, 0.00; 25, 36.63; 50, 69.06; 75, 102.25; 85, 116.10; 100, 137.68]",,,,,,,,
B&W Alpha 405-26 367kW (Arne Tiselius),367,91.75,1,1000,1000,Diesel,"[92, 198.02; 184, 186.66; 275, 184.25; 312, 184.59; 367, 186.06]","[0, 0.00; 25, 21.48; 50, 40.49; 75, 59.95; 85, 68.06; 100, 80.72]",,,,,,,,
B&W Alpha 496R 530kW (Soloven),530,132.5,1,1000,1000,Diesel,"[133, 198.02; 265, 186.66; 398, 184.25; 451, 184.59; 530, 186.06]","[0, 0.00; 25, 31.01; 50, 58.47; 75, 86.57; 85, 98.30; 100, 116.57]",,,,,,,,
