Engine_Name ,Engine_P_max  kW,Engine_P_min kW,Cost £,Engine_Mass (kg),Engine_Volume  (m3),Engine_Fuel_Type,"SFC Curve [Power kW, g/kwh]","Engine Fuel Consumption Curve [mcr, L/hr)",Battery_Name,Battery_Capacity (kWh),Battery_Cost,Mass (kg),Volume (m3),Voltage,Current
Wärtsilä 9L20 1000rpm,1800,180,,11600,38.689,Diesel,"[900, 195.60; 1350, 189.80; 1530, 190.30; 1800, 196.00]","[0, 0.00; 50, 208.09; 75, 302.87; 85, 344.16; 100, 417.02]",,,,,,,
Wartsila Diesel 8L32M GENSET 60HZ IMO:T3,4480,2240,,43800,32.13,Diesel,"[2240, 190.30; 3360, 182.50; 3808, 182.30; 4480, 184.50]","[0, 0.00; 50, 426.27; 75, 613.20; 85, 694.20; 100, 826.56]",,,,,,,
Wartsila Diesel 6L32M GENSET 60HZ IMO:T3,3360,1680,,34900,22.69,Diesel,"[1680, 190.30; 2520, 182.50; 2856, 182.30; 3360, 184.50]","[0, 0.00; 50, 319.70; 75, 459.90; 85, 520.65; 100, 619.92]",,,,,,,
Wartsila Diesel 9L32M CCP 60HZ IMO:T3,5220,2610,,47800,34.19,Diesel,"[2610, 181.90; 3915, 180.60; 4437, 181.00; 5220, 184.70]","[0, 0.00; 50, 474.76; 75, 707.05; 85, 803.10; 100, 964.13]",,,,,,,
Wartsila Diesel 6L32M CCP 60HZ IMO:T3,3480,1740,,34900,22.69,Diesel,"[1740, 181.90; 2610, 180.60; 2958, 181.00; 3480, 184.70]","[0, 0.00; 50, 316.51; 75, 471.37; 85, 535.40; 100, 642.76]",,,,,,,
Wärtsilä 6L25 900rpm IMO:T2,2070,207,,21900,36.896,Diesel,"[1035, 186.60; 1553, 182.30; 1760, 182.00; 2070, 184.00]","[0, 0.00; 50, 228.29; 75, 334.54; 85, 378.52; 100, 450.21]",,,,,,,
Wärtsilä 7L25 900rpm IMO:T2,2415,241.5,,23900,39.859,Diesel,"[1208, 186.60; 1811, 182.30; 2053, 182.00; 2415, 184.00]","[0, 0.00; 50, 266.34; 75, 390.30; 85, 441.61; 100, 525.25]",,,,,,,
Wärtsilä 8L25 900rpm IMO:T2,2760,276,,26600,46.615,Diesel,"[1380, 186.60; 2070, 182.30; 2346, 182.00; 2760, 184.00]","[0, 0.00; 50, 304.38; 75, 446.05; 85, 504.70; 100, 600.28]",,,,,,,
Wärtsilä 9L25 900rpm IMO:T2,3105,310.5,,29300,49.787,Diesel,"[1553, 186.60; 2329, 182.30; 2639, 182.00; 3105, 184.00]","[0, 0.00; 50, 342.43; 75, 501.81; 85, 567.78; 100, 675.32]",,,,,,,
Wärtsilä 6L25 1000rpm IMO:T2,2250,225,,21900,36.896,Diesel,"[1125, 189.70; 1688, 183.70; 1913, 183.50; 2250, 185.70]","[0, 0.00; 50, 252.26; 75, 366.42; 85, 414.83; 100, 493.88]",,,,,,,
Wärtsilä 7L25 1000rpm IMO:T2,2625,262.5,,23900,39.859,Diesel,"[1313, 189.70; 1969, 183.70; 2231, 183.50; 2625, 185.70]","[0, 0.00; 50, 294.30; 75, 427.49; 85, 483.96; 100, 576.20]",,,,,,,
Wärtsilä 8L25 1000rpm IMO:T2,3000,300,,26600,46.615,Diesel,"[1500, 189.70; 2250, 183.70; 2550, 183.50; 3000, 185.70]","[0, 0.00; 50, 336.35; 75, 488.56; 85, 553.10; 100, 658.51]",,,,,,,
Wärtsilä 9L25 1000rpm IMO:T2,3375,337.5,,29300,49.787,Diesel,"[1688, 189.70; 2531, 183.70; 2869, 183.50; 3375, 185.70]","[0, 0.00; 50, 378.39; 75, 549.63; 85, 622.24; 100, 740.82]",,,,,,,
Wärtsilä 6L25 900rpm IMO:T3,2040,204,,21900,36.896,Diesel,"[1020, 186.60; 1530, 182.30; 1734, 182.00; 2040, 184.00]","[0, 0.00; 50, 224.98; 75, 329.69; 85, 373.04; 100, 443.69]",,,,,,,
Wärtsilä 7L25 900rpm IMO:T3,2380,238,,23900,39.859,Diesel,"[1190, 186.60; 1785, 182.30; 2023, 182.00; 2380, 184.00]","[0, 0.00; 50, 262.48; 75, 384.64; 85, 435.21; 100, 517.64]",,,,,,,
Wärtsilä 8L25 900rpm IMO:T3,2720,272,,26600,46.615,Diesel,"[1360, 186.60; 2040, 182.30; 2312, 182.00; 2720, 184.00]","[0, 0.00; 50, 299.97; 75, 439.59; 85, 497.38; 100, 591.58]",,,,,,,
Wärtsilä 9L25 900rpm IMO:T3,3060,306,,29300,49.787,Diesel,"[1530, 186.60; 2295, 182.30; 2601, 182.00; 3060, 184.00]","[0, 0.00; 50, 337.47; 75, 494.54; 85, 559.55; 100, 665.53]",,,,,,,
Wärtsilä 6L26 1000rpm IMO:T2,2040,204,,35000,52.319,Diesel,"[1020, 195.10; 1530, 192.00; 1734, 189.60; 2040, 192.00]","[0, 0.00; 50, 235.23; 75, 347.23; 85, 388.61; 100, 462.98]",,,,,,,
Wärtsilä 8L26 1000rpm IMO:T2,2720,272,,45000,56.451,Diesel,"[1360, 195.10; 2040, 192.00; 2312, 189.60; 2720, 192.00]","[0, 0.00; 50, 313.64; 75, 462.98; 85, 518.15; 100, 617.30]",,,,,,,
Wärtsilä 9L26 1000rpm IMO:T2,3060,306,,50000,61.934,Diesel,"[1530, 195.10; 2295, 192.00; 2601, 189.60; 3060, 192.00]","[0, 0.00; 50, 352.84; 75, 520.85; 85, 582.92; 100, 694.47]",,,,,,,
Wärtsilä 12V26 1000rpm IMO:T2,4080,408,,60000,83.598,Diesel,"[2040, 194.20; 3060, 191.00; 3468, 188.70; 4080, 191.00]","[0, 0.00; 50, 468.28; 75, 690.85; 85, 773.54; 100, 921.13]",,,,,,,
Wärtsilä 16V26 1000rpm IMO:T2,5440,544,,70000,97.322,Diesel,"[2720, 198.50; 4080, 193.50; 4624, 191.50; 5440, 194.90]","[0, 0.00; 50, 638.20; 75, 933.19; 85, 1046.69; 100, 1253.26]",,,,,,,
Wärtsilä 6L26 1000rpm IMO:T3,2040,204,,35000,52.319,Diesel,"[1020, 199.40; 1530, 194.40; 1734, 192.50; 2040, 195.80]","[0, 0.00; 50, 240.41; 75, 351.57; 85, 394.56; 100, 472.14]",,,,,,,
Wärtsilä 8L26 1000rpm IMO:T3,2720,272,,45000,56.451,Diesel,"[1360, 199.40; 2040, 194.40; 2312, 192.50; 2720, 195.80]","[0, 0.00; 50, 320.55; 75, 468.77; 85, 526.08; 100, 629.52]",,,,,,,
Wärtsilä 9L26 1000rpm IMO:T3,3060,306,,50000,61.934,Diesel,"[1530, 199.40; 2295, 194.40; 2601, 192.50; 3060, 195.80]","[0, 0.00; 50, 360.62; 75, 527.36; 85, 591.84; 100, 708.21]",,,,,,,
Wärtsilä 12V26 1000rpm IMO:T3,4080,408,,60000,83.598,Diesel,"[2040, 198.50; 3060, 193.40; 3468, 191.50; 4080, 194.90]","[0, 0.00; 50, 478.65; 75, 699.53; 85, 785.01; 100, 939.94]",,,,,,,
Wärtsilä 16V26 1000rpm IMO:T3,5440,544,,70000,97.322,Diesel,"[2720, 198.50; 4080, 193.40; 4624, 191.50; 5440, 194.90]","[0, 0.00; 50, 638.20; 75, 932.71; 85, 1046.69; 100, 1253.26]",,,,,,,
FCWave Ballard 200,200,55,450000,1000,1.96,FC,"[55, 56.67; 75, 57.96; 100, 56.00; 150, 58.49; 200, 67.49]","[28, 78.41; 38, 109.36; 50, 140.88; 75, 220.72; 100, 339.58]",,,,,,,
Corvus 320 kW FC Pack,320,50,584000,2500,6.888,FC,"[80, 53.90; 160, 56.10; 240, 59.30]","[25, 181.83; 50, 378.49; 75, 600.13]",,,,,,,
TECO FCM 400,325,20,500000,1390,2.33,FC,"[20, 55.00; 163, 55.21; 200, 61.67; 300, 63.38; 325, 0.00]","[6, 46.38; 51, 379.51; 63, 484.93; 94, 780.10; 102, 868.65]",,,,,,,
Powercell 100kW,100,10,,,,FC,"[10, 41.75; 25, 53.84; 50, 57.53; 75, 64.20; 85, 66.76; 100, 70.07]","[0, 0.00; 10, 17.60; 25, 56.76; 50, 121.29; 75, 203.02; 85, 239.27; 100, 295.48]",,,,,,,
MAN 20V175D-ML,4400,440,,,,Diesel,"[440, 225.00; 1100, 203.00; 2200, 204.00; 3300, 205.00; 3740, 199.00; 4400, 199.00]","[0, 0.00; 10, 119.00; 25, 267.00; 50, 537.00; 75, 809.00; 85, 890.00; 100, 1047.00]",,,,,,,
MAN 12V175D-ML,2580,258,,,,Diesel,"[258, 225.00; 645, 205.00; 1290, 209.00; 1935, 207.00; 2193, 202.00; 2580, 202.00]","[0, 0.00; 10, 70.00; 25, 158.00; 50, 323.00; 75, 479.00; 85, 530.00; 100, 623.00]",,,,,,,
"MAN 12V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier II",2400,240,,,,Diesel,"[240, 300.00; 600, 199.00; 1200, 187.00; 1800, 194.00; 2040, 194.50; 2400, 197.50]","[0, 0.00; 10, 87.00; 25, 143.00; 50, 269.00; 75, 418.00; 85, 475.00; 100, 567.00]",,,,,,,
"MAN 16V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier II",3200,320,,,,Diesel,"[320, 300.00; 800, 199.00; 1600, 187.00; 2400, 194.00; 2720, 194.50; 3200, 197.50]","[0, 0.00; 10, 115.00; 25, 191.00; 50, 358.00; 75, 557.00; 85, 633.00; 100, 756.00]",,,,,,,
"MAN 20V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier II",4000,400,,,,Diesel,"[400, 300.00; 1000, 199.00; 2000, 188.50; 3000, 194.00; 3400, 194.50; 4000, 197.50]","[0, 0.00; 10, 144.00; 25, 238.00; 50, 451.00; 75, 696.00; 85, 791.00; 100, 944.00]",,,,,,,
"MAN 12V175D-MM, 200 kW/cyl., 1,800 rpm, IMO Tier II for tug application",2400,240,,,,Diesel,"[240, 295.00; 600, 194.00; 1200, 186.00; 1800, 196.00; 2040, 195.00; 2400, 193.00]","[0, 0.00; 10, 85.00; 25, 139.50; 50, 267.00; 75, 421.50; 85, 476.00; 100, 535.50]",,,,,,,
"MAN 12V175D-MM, 185 kW/cyl., 1,900 rpm, IMO Tier II",2220,222,,,,Diesel,"[222, 240.00; 555, 198.00; 1110, 187.00; 1665, 194.50; 1887, 194.00; 2220, 195.00]","[0, 0.00; 10, 64.00; 25, 132.00; 50, 248.00; 75, 387.00; 85, 438.00; 100, 518.00]",,,,,,,
"MAN 16V175D-MM, 185 kW/cyl., 1,900 rpm, IMO Tier II",2960,296,,,,Diesel,"[296, 240.00; 740, 198.00; 1480, 187.00; 2220, 194.50; 2516, 194.00; 2960, 196.00]","[0, 0.00; 10, 85.00; 25, 176.00; 50, 331.00; 75, 516.00; 85, 584.00; 100, 694.00]",,,,,,,
"MAN 20V175D-MM, 185 kW/cyl., 1,900 rpm, IMO Tier II",3700,370,,,,Diesel,"[370, 240.00; 925, 198.00; 1850, 190.00; 2775, 194.50; 3145, 193.00; 3700, 194.00]","[0, 0.00; 10, 85.00; 25, 176.00; 50, 331.00; 75, 516.00; 85, 726.00; 100, 858.00]",,,,,,,
"MAN 12V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier III",2400,240,,,,Diesel,"[240, 300.00; 600, 200.00; 1200, 189.50; 1800, 195.50; 2040, 195.00; 2400, 198.00]","[0, 0.00; 10, 87.00; 25, 144.00; 50, 272.00; 75, 421.00; 85, 476.00; 100, 568.00]",,,,,,,
"MAN 16V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier III",3200,320,,,,Diesel,"[320, 300.00; 800, 200.00; 1600, 189.50; 2400, 195.50; 2720, 195.00; 3200, 198.00]","[0, 0.00; 10, 115.00; 25, 192.00; 50, 363.00; 75, 561.00; 85, 634.00; 100, 757.00]",,,,,,,
"MAN 20V175D-ML, 200 kW/cyl., 2,000 rpm, IMO Tier III",4000,400,,,,Diesel,"[400, 300.00; 1000, 200.00; 2000, 189.50; 3000, 195.50; 3400, 196.00; 4000, 198.00]","[0, 0.00; 10, 144.00; 25, 239.00; 50, 453.00; 75, 701.00; 85, 797.00; 100, 947.00]",,,,,,,
